2025-03-24 23:55:52,706 | buildingmotif.database.graph_connection |  DEBUG: Creating tables for graph storage
2025-03-24 23:56:28,424 | buildingmotif.database.table_connection |  DEBUG: Creating shape collection in library: 'http://data.ashrae.org/standard223/1.0/model/all'
2025-03-24 23:56:28,425 | buildingmotif.database.table_connection |  DEBUG: Creating database library: 'http://data.ashrae.org/standard223/1.0/model/all'
2025-03-24 23:56:28,643 | root |  WARNING: An ontology could not resolve a dependency on http://qudt.org/2.1/vocab/currency (Name: http://qudt.org/2.1/vocab/currency). Check this is loaded into BuildingMOTIF
2025-03-24 23:56:28,643 | root |  WARNING: An ontology could not resolve a dependency on http://data.ashrae.org/standard223/1.0/model/equipment (Name: http://data.ashrae.org/standard223/1.0/model/equipment). Check this is loaded into BuildingMOTIF
2025-03-24 23:56:28,643 | root |  WARNING: An ontology could not resolve a dependency on http://qudt.org/2.1/vocab/unit (Name: http://qudt.org/2.1/vocab/unit). Check this is loaded into BuildingMOTIF
2025-03-24 23:56:28,644 | root |  WARNING: An ontology could not resolve a dependency on http://data.ashrae.org/standard223/1.0/extensions/settings (Name: http://data.ashrae.org/standard223/1.0/extensions/settings). Check this is loaded into BuildingMOTIF
2025-03-24 23:56:28,644 | root |  WARNING: An ontology could not resolve a dependency on http://www.w3.org/ns/shacl# (Name: http://www.w3.org/ns/shacl#). Check this is loaded into BuildingMOTIF
2025-03-24 23:56:28,644 | root |  WARNING: An ontology could not resolve a dependency on http://qudt.org/2.1/vocab/constant (Name: http://qudt.org/2.1/vocab/constant). Check this is loaded into BuildingMOTIF
2025-03-24 23:56:28,644 | root |  WARNING: An ontology could not resolve a dependency on http://data.ashrae.org/standard223/1.0/model/core (Name: http://data.ashrae.org/standard223/1.0/model/core). Check this is loaded into BuildingMOTIF
2025-03-24 23:56:28,644 | root |  WARNING: An ontology could not resolve a dependency on http://data.ashrae.org/standard223/1.0/vocab/enumeration (Name: http://data.ashrae.org/standard223/1.0/vocab/enumeration). Check this is loaded into BuildingMOTIF
2025-03-24 23:56:28,673 | buildingmotif.database.table_connection |  DEBUG: Creating shape collection in model: 'http://example.com/hvac'
2025-03-24 23:56:28,673 | buildingmotif.database.table_connection |  DEBUG: Creating model: 'http://example.com/hvac', with graph: 'cb64d7b7-c2d3-4a63-8667-60c1a3de073c'
2025-03-24 23:56:28,674 | buildingmotif.database.graph_connection |  DEBUG: Creating graph: 'cb64d7b7-c2d3-4a63-8667-60c1a3de073c' in database with: 137 triples
2025-03-24 23:57:00,692 | buildingmotif.dataclasses.shape_collection |  WARNING: Could not resolve import of http://qudt.org/2.1/vocab/currency from Libraries (Name: http://qudt.org/2.1/vocab/currency). Trying shape collections
2025-03-24 23:57:00,695 | buildingmotif.dataclasses.shape_collection |  WARNING: Could not resolve import of http://qudt.org/2.1/vocab/currency from Libraries. Trying shape collections
