type,title,pdf,link,slides,authors,conference,location,month,year
workshop,"Dataset: An Open Dataset and Collection Tool for BMS Point Labels",BuildingMetadataDataset-DATA-2019-Fierro.pdf,,,"Gabe Fierro, Sriharsha Guduguntla, David E. Culler","2nd Workshop on Data Acquisition To Analysis (DATA)","New York, NY, USA",November,2019
workshop,"BAS: Building Application Stack",bas.pdf,,,"Andrew Krioukov, Gabe Fierro, Nikita Kitaev, David E. Culler","4th ACM Workshop On Embedded Sensing Systems For Energy-Efficiency In Buildings","Toronto, Canada",November,2012
misc,"Self-Adapting Software for Cyberphysical Systems",fierro-dissertation.pdf,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2021/EECS-2021-159.html,,"Gabe Fierro","PhD Dissertation","Berkeley, CA, USA",May,2021
misc,"CoVista: A Unified View on Privacy Sensitive Mobile Contact Tracing Effort",covista-2020.pdf,https://arxiv.org/abs/2005.13164,,"David Culler, Prabal Dutta, Gabe Fierro, Joseph E. Gonzalez, Nathan Pemberton, JohannSchleier-Smith, K. Shankari, Alvin Wan, and Thomas Zachariah",arXiv,,May,2020
misc,"Design of an Effective Ontology and Query Processor Enabling Portable Building Applications",fierro_masters_thesis.pdf,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2019/EECS-2019-106.html,,"Gabe Fierro","Masters Thesis","Berkeley, CA, USA",June,2019
misc,"WAVE: A Decentralized Authorization System for IoT via Blockchain Smart Contracts",wave_techreport.pdf,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2017/EECS-2017-234.html,,"Michael P Andersen, John Kolb, Kaifei Chen, Gabriel Fierro, David E. Culler and Raluca Ada Popa.","Technical Report No. UCB/EECS-2017-234",,December,2017
misc,"XBOS: An Extensible Building Operating System",EECS-2015-197.pdf,http://www.eecs.berkeley.edu/Pubs/TechRpts/2015/EECS-2015-197.pdf,,"Gabe Fierro and David E. Culler","Technical Report No. UCB/EECS-2015-197",,September,2015
misc,"Skewering the silos: using Brick to enable portable analytics, modeling and controls in buildings",peffer2023skewering.pdf,https://escholarship.org/uc/item/04w0b9n2,,"Therese Peffer, Gabe Fierro, Paul Raftery, Carlos Duarte Roa, Marco Pritoni, Michael Wetter, Anand Prakash, Lazlo Paul, Erik Paulson","Tech Report for DOE Grant DE-EE0008681",,January,2023
misc,"Data-Driven Smart Buildings: State-of-the-Art Review",Annex81Review.pdf,https://annex81.iea-ebc.org/Data/publications/Annex%2081%20State-of-the-Art%20Report%20(final).pdf,,"David Blum, José Candanedo, Zhelun Chen, Gabe Fierro, Virginia Gori, Hicham Johra, Henrik Madsen, Anna Marszal-Pomianowska, Zheng O’Neill, Ojas Pradhan, Dimitrios Rovas, Francesco Sacco, Sofia Stensson, Christian A. Thilker, Charalampos Vallianos, Jin Wen, Stephen D. White","International Energy Agency : Annex 81",,September,2023
misc,"Survey of Metadata Schemas for Data-Driven Smart Buildings",fierro2022survey.pdf,https://annex81.iea-ebc.org/Data/publications/Survey%20of%20meta-data%20schemas%20(final)1.pdf,,"Gabe Fierro, Pieter Pauwels","International Energy Agency : Annex 81",,May,2022
